"","titulo","categoria","precio","comuna","descripcion","link"
"1","Oportunidad pymes-emprendedores","Vendo",NA,"Pudahuel","se vende terreno industrial próximo autopistas, aeropuerto. consta de galpón interior de 160 m2, luz trifásica. giro comercial. se acepta ofertas. geoverpropiedades +56975781652.","https://www.yapo.cl/region_metropolitana/comprar/oportunidad_pymes_emprendedores_75743952.htm?ca=15_s&first=1&oa=75743952&xsp=0"
"2","Teleoperador/Call Center","Ofertas de empleo",350000,"Providencia","importante empresa requiere para su departamento de telemarketing en expansión teleoperadores con experiencia en venta de productos telefónicamente, tangible e intangibleexperiencia comprobabledisponibilidad inmediatadesde 23 añosse ofrecejornada parcial de 30 horas semanalessueldo base acorde a mercado mas excelentes comisionesinteresadas enviar cv","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/teleoperador_call_center_74392252.htm?ca=15_s&oa=74392252&xsp=1"
"3","poncho o tapadito","Moda y vestuario",NA,"Puente Alto","vendo poncho o tapadito liviano calentito en 10 mil","https://www.yapo.cl/region_metropolitana/moda-vestuario/poncho_o_tapadito_75743971.htm?ca=15_s&oa=75743971&xsp=2"
"4","Hyundai porter carrozado recibo vehiculo","Autos, camionetas y 4x4",8850000,"La Florida","porter 2.5 carrozadobuen estadorecibo vehiculo+569 9541 0439","https://www.yapo.cl/region_metropolitana/autos/hyundai_porter_carrozado_recibo_vehiculo_75699967.htm?ca=15_s&oa=75699967&xsp=3"
"5","SUZUKI SWIFT 1.2 GLX 40mil km RECIBO VEHÍCULO","Autos, camionetas y 4x4",8650000,"La Florida","recibo vehículo suzuki swift 1.2cc glxfull - airbags -absairellantas fabuloso+569 95410439 +562 28236988. credito automotriz- red compra - tarjetas de creditoa","https://www.yapo.cl/region_metropolitana/autos/suzuki_swift_1_2_glx_40mil_km_recibo_veh_culo_75606054.htm?ca=15_s&oa=75606054&xsp=4"
"6","Hyundai h1 cargo diesel","Buses, camiones y furgones",4500000,"La Florida","hyundai cargo h12007. diesel motor impecablerecien mantencion buen estado al dia","https://www.yapo.cl/region_metropolitana/camiones_furgones/hyundai_h1_cargo_diesel_75592784.htm?ca=15_s&oa=75592784&xsp=5"
"7","Volvo s40 cuero sunroof","Autos, camionetas y 4x4",3500000,"La Florida","volvo s40 cuero - sunroof - llantasairbags - al dia- camara de retrocesodetalle cajallamar solo reales interesados+569 95410439","https://www.yapo.cl/region_metropolitana/autos/volvo_s40_cuero_sunroof_75531030.htm?ca=15_s&oa=75531030&xsp=6"
"8","Bmw x5 XDRIVE 35i 3 corridas recibo vehículo","Autos, camionetas y 4x4",14500000,"La Florida","recibo vehículo bmw x5 xdrive35i full sensores delanteros y traseroscuero - sunroof eléctrico bluetooth al día +569 95410439 +562 28236988. credito automotriz- red compra - tarjetas de credito.","https://www.yapo.cl/region_metropolitana/autos/bmw_x5_xdrive_35i_3_corridas_recibo_veh_culo_75444545.htm?ca=15_s&oa=75444545&xsp=7"
"9","Volvo s60 1.5t recibo vehículo","Autos, camionetas y 4x4",15650000,"La Florida","recibo vehículo 10 airbags- abs -15mil km at triptronic climatizador crucerobluetooth sensor de retroceso espejos retráctiles eléctricos mantencion ditec +569 95410439 +562 28236988. credito automotriz- red compra - tarjetas de credito.","https://www.yapo.cl/region_metropolitana/autos/volvo_s60_1_5t_recibo_veh_culo_75207409.htm?ca=15_s&oa=75207409&xsp=8"
"10","Nissan murano awd recibo vehiculo","Autos, camionetas y 4x4",7480000,"La Florida","recibo vehiculonissan murano 3.5 at fullairbags - as aire acondicionadoalzavidrios eléctricosneumáticos nuevosal dia+569 95410439 +562 28236988.  red compra - tarjetas de credito.","https://www.yapo.cl/region_metropolitana/autos/nissan_murano_awd_recibo_vehiculo_74674934.htm?ca=15_s&oa=74674934&xsp=9"
